[Wed Jun 24 10:56:06.317594 2015] [:error] [pid 9091] [client 127.0.0.1:58266] PHP Notice:  Undefined index: user in /var/www/chat/core/lib.php on line 32, referer: http://localhost:4000/home/
[Wed Jun 24 10:56:07.018474 2015] [:error] [pid 9091] [client 127.0.0.1:58266] PHP Fatal error:  Call to undefined method form::_form() in /var/www/chat/core/form.php on line 12, referer: http://localhost:4000/home/
[Wed Jun 24 10:57:18.463353 2015] [:error] [pid 9094] [client 127.0.0.1:58274] PHP Notice:  Undefined index: user in /var/www/chat/core/lib.php on line 32, referer: http://localhost:4000/home/
[Wed Jun 24 10:57:18.631628 2015] [:error] [pid 9094] [client 127.0.0.1:58274] PHP Fatal error:  Call to private method html::form() from context 'form' in /var/www/chat/core/form.php on line 12, referer: http://localhost:4000/home/
[Wed Jun 24 10:57:45.823790 2015] [:error] [pid 9095] [client 127.0.0.1:58278] PHP Notice:  Undefined index: user in /var/www/chat/core/lib.php on line 32, referer: http://localhost:4000/home/
[Wed Jun 24 10:57:45.875478 2015] [:error] [pid 9095] [client 127.0.0.1:58278] PHP Notice:  Undefined variable: model in /var/www/chat/core/form.php on line 12, referer: http://localhost:4000/home/
[Wed Jun 24 10:57:45.875629 2015] [:error] [pid 9095] [client 127.0.0.1:58278] PHP Fatal error:  Call to a member function nombreClase() on a non-object in /var/www/chat/core/form.php on line 12, referer: http://localhost:4000/home/
[Wed Jun 24 10:57:54.329816 2015] [:error] [pid 9093] [client 127.0.0.1:58282] PHP Notice:  Undefined index: user in /var/www/chat/core/lib.php on line 32, referer: http://localhost:4000/home/
[Wed Jun 24 10:57:54.418082 2015] [:error] [pid 9093] [client 127.0.0.1:58282] PHP Notice:  Undefined variable: model in /var/www/chat/core/form.php on line 12, referer: http://localhost:4000/home/
[Wed Jun 24 10:57:54.418166 2015] [:error] [pid 9093] [client 127.0.0.1:58282] PHP Fatal error:  Call to a member function nombreClase() on a non-object in /var/www/chat/core/form.php on line 12, referer: http://localhost:4000/home/
[Wed Jun 24 10:59:42.050492 2015] [:error] [pid 9091] [client 127.0.0.1:58287] PHP Notice:  Undefined variable: model in /var/www/chat/core/form.php on line 13, referer: http://localhost:4000/home/
[Wed Jun 24 10:59:42.050612 2015] [:error] [pid 9091] [client 127.0.0.1:58287] PHP Fatal error:  Call to a member function nombreClase() on a non-object in /var/www/chat/core/form.php on line 13, referer: http://localhost:4000/home/
[Wed Jun 24 11:00:01.195418 2015] [:error] [pid 9102] [client 127.0.0.1:58291] PHP Notice:  Undefined variable: modelo in /var/www/chat/core/form.php on line 13, referer: http://localhost:4000/home/
[Wed Jun 24 11:00:01.195558 2015] [:error] [pid 9102] [client 127.0.0.1:58291] PHP Fatal error:  Call to a member function nombreClase() on a non-object in /var/www/chat/core/form.php on line 13, referer: http://localhost:4000/home/
[Wed Jun 24 11:00:05.665388 2015] [:error] [pid 9100] [client 127.0.0.1:58294] PHP Notice:  Undefined variable: modelo in /var/www/chat/core/form.php on line 13, referer: http://localhost:4000/home/
[Wed Jun 24 11:00:05.665558 2015] [:error] [pid 9100] [client 127.0.0.1:58294] PHP Fatal error:  Call to a member function nombreClase() on a non-object in /var/www/chat/core/form.php on line 13, referer: http://localhost:4000/home/
[Wed Jun 24 11:00:28.540925 2015] [:error] [pid 9092] [client 127.0.0.1:58297] PHP Notice:  Undefined offset: 1 in /var/www/chat/core/html.php on line 15, referer: http://localhost:4000/home/
[Wed Jun 24 11:00:33.906029 2015] [:error] [pid 9094] [client 127.0.0.1:58300] PHP Notice:  Undefined offset: 1 in /var/www/chat/core/html.php on line 15, referer: http://localhost:4000/home/
[Wed Jun 24 11:01:21.682868 2015] [:error] [pid 9093] [client 127.0.0.1:58303] PHP Notice:  Undefined offset: 1 in /var/www/chat/core/html.php on line 15, referer: http://localhost:4000/home/
[Wed Jun 24 11:01:55.950014 2015] [:error] [pid 9094] [client 127.0.0.1:58306] PHP Notice:  Undefined offset: 1 in /var/www/chat/core/html.php on line 15, referer: http://localhost:4000/home/
[Wed Jun 24 11:02:10.896440 2015] [:error] [pid 9100] [client 127.0.0.1:58309] PHP Notice:  Undefined offset: 1 in /var/www/chat/core/html.php on line 15, referer: http://localhost:4000/home/
[Wed Jun 24 11:02:36.153647 2015] [:error] [pid 9094] [client 127.0.0.1:58314] PHP Notice:  Undefined offset: 1 in /var/www/chat/core/html.php on line 15, referer: http://localhost:4000/home/
[Wed Jun 24 11:02:46.195991 2015] [:error] [pid 9095] [client 127.0.0.1:58317] PHP Notice:  Undefined offset: 2 in /var/www/chat/core/html.php on line 15, referer: http://localhost:4000/home/
[Wed Jun 24 11:02:46.196081 2015] [:error] [pid 9095] [client 127.0.0.1:58317] PHP Notice:  Undefined offset: 2 in /var/www/chat/core/html.php on line 15, referer: http://localhost:4000/home/
[Wed Jun 24 11:03:14.098454 2015] [:error] [pid 9091] [client 127.0.0.1:58320] PHP Notice:  Undefined offset: 1 in /var/www/chat/core/html.php on line 15, referer: http://localhost:4000/home/
[Wed Jun 24 11:08:29.605667 2015] [:error] [pid 9093] [client 127.0.0.1:58356] PHP Notice:  Undefined variable: url_return in /var/www/chat/core/html.php on line 17, referer: http://localhost:4000/home/
[Wed Jun 24 11:08:29.605939 2015] [:error] [pid 9093] [client 127.0.0.1:58356] PHP Notice:  Undefined variable: url_return in /var/www/chat/core/html.php on line 17, referer: http://localhost:4000/home/
[Wed Jun 24 11:08:31.118515 2015] [:error] [pid 9093] [client 127.0.0.1:58356] PHP Notice:  Undefined variable: url_return in /var/www/chat/core/html.php on line 17, referer: http://localhost:4000/home/
[Wed Jun 24 11:08:31.118605 2015] [:error] [pid 9093] [client 127.0.0.1:58356] PHP Notice:  Undefined variable: url_return in /var/www/chat/core/html.php on line 17, referer: http://localhost:4000/home/
[Wed Jun 24 11:08:39.973176 2015] [:error] [pid 9092] [client 127.0.0.1:58360] PHP Notice:  Undefined variable: url_return in /var/www/chat/core/html.php on line 16, referer: http://localhost:4000/usuario/add
[Wed Jun 24 11:08:41.236231 2015] [:error] [pid 9094] [client 127.0.0.1:58361] PHP Notice:  Undefined variable: url_return in /var/www/chat/core/html.php on line 16, referer: http://localhost:4000/home/
[Wed Jun 24 11:08:41.236361 2015] [:error] [pid 9094] [client 127.0.0.1:58361] PHP Notice:  Undefined variable: url_return in /var/www/chat/core/html.php on line 16, referer: http://localhost:4000/home/
[Wed Jun 24 11:08:47.674810 2015] [:error] [pid 9100] [client 127.0.0.1:58363] PHP Notice:  Undefined variable: url_return in /var/www/chat/core/html.php on line 16, referer: http://localhost:4000/home/
[Wed Jun 24 11:08:47.674902 2015] [:error] [pid 9100] [client 127.0.0.1:58363] PHP Notice:  Undefined variable: url_return in /var/www/chat/core/html.php on line 16, referer: http://localhost:4000/home/
[Wed Jun 24 11:08:50.865752 2015] [:error] [pid 9091] [client 127.0.0.1:58365] PHP Notice:  Undefined variable: url_return in /var/www/chat/core/html.php on line 16, referer: http://localhost:4000/home/
[Wed Jun 24 11:08:50.865838 2015] [:error] [pid 9091] [client 127.0.0.1:58365] PHP Notice:  Undefined variable: url_return in /var/www/chat/core/html.php on line 16, referer: http://localhost:4000/home/
[Wed Jun 24 11:14:28.076276 2015] [:error] [pid 9100] [client 127.0.0.1:58385] PHP Fatal error:  Call to undefined method form::text() in /var/www/chat/view/usuario/_add.php on line 5, referer: http://localhost:4000/home/
